year_month,index,Datum,CDU,SPD,Grüne,FDP,Linke,Piraten,AfD,FW,BSW,koalitionsprozente
2024-01,551.0,2024-01-12 00:00:00,31.0,13.0,14.0,4.0,4.0,,22.0,4.0,4.0,31.0
2024-02,552.0,2024-02-02 00:00:00,31.0,15.0,13.0,4.0,3.0,,19.0,3.0,6.0,32.0
2023-12,550.0,2023-12-15 00:00:00,32.0,14.0,14.0,5.0,4.0,,22.0,3.0,,33.0
2023-10,547.0,2023-10-20 00:00:00,30.0,15.0,14.0,5.0,5.0,,21.0,3.0,,34.0
2023-11,548.5,2023-11-17 00:00:00,30.5,15.5,15.0,5.0,4.0,,21.5,3.0,,35.5
2004-08,180.0,2004-08-27 00:00:00,45.0,26.0,10.0,6.0,6.0,,,,,36.0
2005-07,196.5,2005-07-15 00:00:00,43.5,26.5,9.5,7.0,9.0,,,,,36.0
2010-10,297.5,2010-10-11 12:00:00,31.5,29.5,19.5,5.0,9.0,,,,,36.5
2010-09,295.5,2010-09-17 00:00:00,31.5,30.5,18.0,5.0,9.5,,,,,36.5
2005-06,194.5,2005-06-17 00:00:00,44.0,28.0,8.5,7.0,6.5,,,,,36.5
