DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,AISTYPE_Class,bythehour,count
2023-03-24 00:01:34,371686000,12.63683,43.35909,320.6,12.1,326,0,9267962,GAS ZEUS,3FIQ9,80,100,20,10,10,7.2,SUEZ CANAL,03-27 10:00,8,2023-03-24 00,1
2023-03-24 01:25:07,414550000,12.619,43.37486,301.8,13.1,303,0,9331749,KUAI BANG HAI 16,BOSS3,75,160,30,13,19,11.0,SUDAN,03-26 02:00,7,2023-03-24 01,6
2023-03-24 01:25:32,341681000,12.63365,43.36387,306.0,12.4,313,0,9332810,ODYSSEUS,V4WF4,89,207,37,26,16,8.0,ARMGUARD_ONBOARD,03-28 10:00,8,2023-03-24 01,6
2023-03-24 01:25:47,352001758,12.61313,43.40562,305.9,12.9,307,0,9308065,CHARVI,3E2594,80,210,64,18,30,9.0,EGPSD>INSIK,03-27 20:00,8,2023-03-24 01,6
2023-03-24 01:35:06,374932000,12.76065,43.25481,154.9,10.7,155,0,9230426,PRINCESS KHADIJA,H9HR,80,156,26,14,14,7.5,AE SHJ,03-30 01:00,8,2023-03-24 01,6
2023-03-24 01:53:36,319020000,12.60497,43.41365,298.5,12.9,298,0,1007469,LIGHTNING,ZCOA4,37,13,39,5,4,3.2,ARMED SECURITY ON,03-28 06:00,3,2023-03-24 01,6
2023-03-24 02:04:05,341821000,12.60932,43.39255,298.0,13.1,300,0,9332834,WISDOMS DAUGHTER,V4YU4,89,203,41,27,15,8.0,EGSUZ,03-28 11:30,8,2023-03-24 02,7
2023-03-24 03:26:33,636018264,12.60757,43.4042,301.0,13.3,300,0,9198288,YM COSMOS,D5OX7,73,0,0,0,0,13.8,SAJED,03-25 15:00,7,2023-03-24 03,9
2023-03-24 03:46:12,563710000,12.61791,43.38047,285.2,16.8,288,0,9372810,POLARIS LEADER,9VHC5,70,20,160,20,12,8.8,SA JED,03-25 16:00,7,2023-03-24 03,9
2023-03-24 04:21:07,352002456,12.61581,43.3959,302.1,13.6,299,0,9411331,CANKIRI,3E4108,80,231,43,32,16,9.4,GUARD ON BOARD,04-14 16:00,8,2023-03-24 04,13
2023-03-24 04:30:26,636022116,12.61411,43.40731,296.6,15.0,292,0,9196852,MSC ALMA VII,5LHG5,70,211,93,20,20,13.8,EGSUZ,03-27 23:30,7,2023-03-24 04,13
2023-03-24 04:37:57,311025400,12.61764,43.38929,298.0,12.4,297,0,9445708,SOPHIA Z,C6XX8,70,162,28,13,19,9.0,ARMEDGUARDS ONBOARD,03-28 10:00,7,2023-03-24 04,13
2023-03-24 04:39:27,636021886,12.60685,43.39145,298.7,16.1,296,0,9343388,TOSA,5LGE3,89,281,52,30,30,10.7,EGSUZ,03-27 09:00,8,2023-03-24 04,13
2023-03-24 05:05:54,636014481,12.75065,43.25825,154.0,11.8,157,0,9489302,CAPE ALEXANDROS,A8UF2,70,250,42,18,27,18.0,SGSIN ARMED GUARD,04-07 08:00,7,2023-03-24 05,15
2023-03-24 05:18:02,636092887,12.74397,43.25388,157.0,19.8,157,0,9222273,PARIS II,D5SI7,79,226,74,30,10,9.3,EGSUZ-CNYTN,04-05 05:00,7,2023-03-24 05,15
