Words,count,Themengebiet
Deutschland,4,Außenpolitik
Migration,12,Innenpolitik
Deutschland,8,Innenpolitik
Bildung,5,Innenpolitik
Wirtschaft,4,Innenpolitik
Industrie,3,Innenpolitik
Digitalisierung,3,Innenpolitik
Bildungspolitik,3,Innenpolitik
Ampel,3,Innenpolitik
Migrationskrise,3,Innenpolitik
Themen,3,Innenpolitik
Innovationen,8,Trendthemen
Deutschland,5,Trendthemen
Themen,5,Trendthemen
Zukunft,4,Trendthemen
Energiewende,4,Trendthemen
Entwicklung,3,Trendthemen
Wirtschaft,3,Trendthemen
Mobilitt,3,Trendthemen
